STT,Mã t?nh (BNV),Tên t?nh/TP m?i,Mã t?nh (TMS),Mã Qu?n huy?n TMS (c?) CQT ?ã rà soát,Tên Qu?n huy?n TMS (c?),S? t? t?ng,Mã ph??ng/xã m?i ,Tên Ph??ng/Xã m?i,Tr?ng thái rà soát cu?i,
787,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,105,20118105,Xã Xuân Giang,,
788,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,106,20118106,Xã B?ng Lang,,
789,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,107,20118107,Xã Yên Thành,,
790,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,108,20118108,Xã Quang Bình,,
791,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,109,20118109,Xã Tân Tr?nh,,
792,08,T?nh Tuyên Quang,211,20118,Huy?n Quang Bình,110,20118110,Xã Tiên Nguyên,,
793,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,111,20113111,Xã Thông Nguyên,,
794,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,112,20113112,Xã H? Th?u,,
795,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,113,20113113,Xã N?m D?ch,,
796,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,114,20113114,Xã Tân Ti?n,,
797,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,115,20113115,Xã Hoàng Su Phì,,
798,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,116,20113116,Xã Thàng Tín,,
799,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,117,20113117,Xã B?n Máy,,
800,08,T?nh Tuyên Quang,211,20113,Huy?n Hoàng Su Phì,118,20113118,Xã P? Ly Ngài,,
801,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,119,20117119,Xã Xín M?n,,
802,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,120,20117120,Xã Pà V?y S?,,
803,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,121,20117121,Xã N?m D?n,,
804,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,122,20117122,Xã Trung Th?nh,,
805,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,123,20117123,Xã Qu?ng Nguyên,,
806,08,T?nh Tuyên Quang,211,20117,Huy?n Xín M?n,124,20117124,Xã Khuôn Lùng,,
807,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,1,21309001,Xã Khao Mang,,
808,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,2,21309002,Xã Mù Cang Ch?i,,
809,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,3,21309003,Xã Púng Luông,,
810,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,4,21315004,Xã Tú L?,,
811,09,T?nh Lào Cai,205,21317,Huy?n Tr?m T?u,5,21317005,Xã Tr?m T?u,,
812,09,T?nh Lào Cai,205,21317,Huy?n Tr?m T?u,6,21317006,Xã H?nh Phúc,,
813,09,T?nh Lào Cai,205,21317,Huy?n Tr?m T?u,7,21317007,Xã Phình H?,,
814,09,T?nh Lào Cai,205,21303,Th? xã Ngh?a L?,8,21303008,Ph??ng Ngh?a L?,,
815,09,T?nh Lào Cai,205,21303,Th? xã Ngh?a L?,9,21303009,Ph??ng Trung Tâm,,
816,09,T?nh Lào Cai,205,21303,Th? xã Ngh?a L?,10,21303010,Ph??ng C?u Thia,,
817,09,T?nh Lào Cai,205,21303,Th? xã Ngh?a L?,11,21303011,Xã Liên S?n,,
818,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,12,21315012,Xã Gia H?i,,
819,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,13,21315013,Xã S?n L??ng,,
820,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,14,21315014,Xã Th??ng B?ng La,,
821,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,15,21315015,Xã Ch?n Th?nh,,
822,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,16,21315016,Xã Ngh?a Tâm,,
823,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,17,21315017,Xã V?n Ch?n,,
824,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,18,21307018,Xã Phong D? H?,,
825,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,19,21307019,Xã Châu Qu?,,
826,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,20,21307020,Xã Lâm Giang,,
827,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,21,21307021,Xã ?ông Cuông,,
828,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,22,21307022,Xã Tân H?p,,
829,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,23,21307023,Xã M?u A,,
830,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,24,21307024,Xã Xuân Ái,,
831,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,25,21307025,Xã Mo? Vàng,,
832,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,26,21305026,Xã Lâm Th??ng,,
833,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,27,21305027,Xã L?c Yên,,
834,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,28,21305028,Xã Tân L?nh,,
835,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,29,21305029,Xã Khánh Hoà,,
836,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,30,21305030,Xã Phúc L?i,,
837,09,T?nh Lào Cai,205,21305,Huy?n L?c Yên,31,21305031,Xã M??ng Lai,,
838,09,T?nh Lào Cai,205,21313,Huy?n Yên Bình,32,21313032,Xã C?m Nhân,,
839,09,T?nh Lào Cai,205,21313,Huy?n Yên Bình,33,21313033,Xã Yên Thành,,
840,09,T?nh Lào Cai,205,21313,Huy?n Yên Bình,34,21313034,Xã Thác Bà,,
841,09,T?nh Lào Cai,205,21313,Huy?n Yên Bình,35,21313035,Xã Yên Bình,,
842,09,T?nh Lào Cai,205,21313,Huy?n Yên Bình,36,21313036,Xã B?o Ái,,
843,09,T?nh Lào Cai,205,21301,Thành ph? Yên Bái,37,21301037,Ph??ng V?n Phú,,
844,09,T?nh Lào Cai,205,21301,Thành ph? Yên Bái,38,21301038,Ph??ng Yên Bái,,
845,09,T?nh Lào Cai,205,21301,Thành ph? Yên Bái,39,21301039,Ph??ng Nam C??ng,,
846,09,T?nh Lào Cai,205,21301,Thành ph? Yên Bái,40,21301040,Ph??ng Âu Lâu,,
847,09,T?nh Lào Cai,205,21311,Huy?n Tr?n Yên,41,21311041,Xã Tr?n Yên,,
848,09,T?nh Lào Cai,205,21311,Huy?n Tr?n Yên,42,21311042,Xã H?ng Khánh,,
849,09,T?nh Lào Cai,205,21311,Huy?n Tr?n Yên,43,21311043,Xã L??ng Th?nh,,
850,09,T?nh Lào Cai,205,21311,Huy?n Tr?n Yên,44,21311044,Xã Vi?t H?ng,,
851,09,T?nh Lào Cai,205,21311,Huy?n Tr?n Yên,45,21311045,Xã Quy Mông,,
858,09,T?nh Lào Cai,205,20511,Huy?n B?o Th?ng,46,20511046,Xã Phong H?i,,
859,09,T?nh Lào Cai,205,20511,Huy?n B?o Th?ng,47,20511047,Xã Xuân Quang,,
860,09,T?nh Lào Cai,205,20511,Huy?n B?o Th?ng,48,20511048,Xã B?o Th?ng,,
861,09,T?nh Lào Cai,205,20511,Huy?n B?o Th?ng,49,20511049,Xã T?ng Lo?ong,,
862,09,T?nh Lào Cai,205,20511,Huy?n B?o Th?ng,50,20511050,Xã Gia Phú,,
863,09,T?nh Lào Cai,205,20501,Thành ph? Lào Cai,51,20501051,Xã C?c San,,
864,09,T?nh Lào Cai,205,20501,Thành ph? Lào Cai,52,20501052,Xã H?p Thành,,
865,09,T?nh Lào Cai,205,20501,Thành ph? Lào Cai,53,20501053,Ph??ng Cam ???ng,,
866,09,T?nh Lào Cai,205,20501,Thành ph? Lào Cai,54,20501054,Ph??ng Lào Cai,,
867,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,55,20507055,Xã M??ng Hum,,
868,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,56,20507056,Xã D?n Sáng,,
869,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,57,20507057,Xã Y Tý,,
870,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,58,20507058,Xã A Mú Sung,,
871,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,59,20507059,Xã Tr?nh T??ng,,
872,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,60,20507060,Xã B?n Xèo,,
873,09,T?nh Lào Cai,205,20507,Huy?n Bát Xát,61,20507061,Xã Bát Xát,,
874,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,62,20515062,Xã Ngh?a ?ô,,
875,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,63,20515063,Xã Th??ng Hà,,
876,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,64,20515064,Xã B?o Yên,,
877,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,65,20515065,Xã Xuân Hoà,,
878,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,66,20515066,Xã Phúc Khánh,,
879,09,T?nh Lào Cai,205,20515,Huy?n B?o Yên,67,20515067,Xã B?o Hà,,
880,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,68,20519068,Xã Võ Lao,,
881,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,69,20519069,Xã Khánh Yên,,
882,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,70,20519070,Xã V?n Bàn,,
883,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,71,20519071,Xã D??ng Qu?,,
884,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,72,20519072,Xã Chi?ng Ken,,
885,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,73,20519073,Xã Minh L??ng,,
886,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,74,20519074,Xã N?m Chày,,
887,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,75,20513075,Xã M??ng Bo,,
888,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,76,20513076,Xã B?n H?,,
889,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,77,20513077,Xã T? Phìn,,
890,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,78,20513078,Xã T? Van,,
891,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,79,20513079,Ph??ng Sa Pa,,
892,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,80,20509080,Xã C?c L?u,,
893,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,81,20509081,Xã B?o Nhai,,
894,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,82,20509082,Xã B?n Li?n,,
895,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,83,20509083,Xã B?c Hà,,
896,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,84,20509084,Xã T? C? T?,,
897,09,T?nh Lào Cai,205,20509,Huy?n B?c Hà,85,20509085,Xã Lùng Phình,,
898,09,T?nh Lào Cai,205,20505,Huy?n M??ng Kh??ng,86,20505086,Xã Pha Long,,
899,09,T?nh Lào Cai,205,20505,Huy?n M??ng Kh??ng,87,20505087,Xã M??ng Kh??ng,,
900,09,T?nh Lào Cai,205,20505,Huy?n M??ng Kh??ng,88,20505088,Xã B?n L?u,,
901,09,T?nh Lào Cai,205,20505,Huy?n M??ng Kh??ng,89,20505089,Xã Cao S?n,,
902,09,T?nh Lào Cai,205,20521,Huy?n Si Ma Cai,90,20521090,Xã Si Ma Cai,,
903,09,T?nh Lào Cai,205,20521,Huy?n Si Ma Cai,91,20521091,Xã Sín Chéng,,
852,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,92,21309092,Xã Lao Ch?i,,
853,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,93,21309093,Xã Ch? T?o,,
854,09,T?nh Lào Cai,205,21309,Huy?n Mù Cang Ch?i,94,21309094,Xã N?m Có,,
855,09,T?nh Lào Cai,205,21317,Huy?n Tr?m T?u,95,21317095,Xã Tà Xi Láng,,
856,09,T?nh Lào Cai,205,21307,Huy?n V?n Yên,96,21307096,Xã Phong D? Th??ng,,
857,09,T?nh Lào Cai,205,21315,Huy?n V?n Ch?n,97,21315097,Xã Cát Th?nh,,
904,09,T?nh Lào Cai,205,20519,Huy?n V?n Bàn,98,20519098,Xã N?m Xé,,
905,09,T?nh Lào Cai,205,20513,Th? xã Sa Pa,99,20513099,Xã Ng? Ch? S?n,,
906,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,1,21501001,Ph??ng Phan ?ình Phùng,,
907,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,2,21501002,Ph??ng Linh S?n,,
908,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,3,21501003,Ph??ng Tích L??ng,,
909,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,4,21501004,Ph??ng Gia Sàng,,
910,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,5,21501005,Ph??ng Quy?t Th?ng,,
911,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,6,21501006,Ph??ng Quan Tri?u,,
912,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,7,21501007,Xã Tân C??ng,,
913,10,T?nh Thái Nguyên,215,21501,Thành ph? Thái Nguyên,8,21501008,Xã ??i Phúc,,
914,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,9,21513009,Xã ??i T?,,
915,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,10,21513010,Xã ??c L??ng,,
916,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,11,21513011,Xã Phú Th?nh,,
917,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,12,21513012,Xã La B?ng,,
918,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,13,21513013,Xã Phú L?c,,
919,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,14,21513014,Xã An Khánh,,
920,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,15,21513015,Xã Quân Chu,,
921,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,16,21513016,Xã V?n Phú,,
922,10,T?nh Thái Nguyên,215,21513,Huy?n ??i T?,17,21513017,Xã Phú Xuyên,,
923,10,T?nh Thái Nguyên,215,21517,Thành ph? Ph? Yên,18,21517018,Ph??ng Ph? Yên,,
924,10,T?nh Thái Nguyên,215,21517,Thành ph? Ph? Yên,19,21517019,Ph??ng V?n Xuân,,
925,10,T?nh Thái Nguyên,215,21517,Thành ph? Ph? Yên,20,21517020,Ph??ng Trung Thành,,
926,10,T?nh Thái Nguyên,215,21517,Thành ph? Ph? Yên,21,21517021,Ph??ng Phúc Thu?n,,
927,10,T?nh Thái Nguyên,215,21517,Thành ph? Ph? Yên,22,21517022,Xã Thành Công,,
928,10,T?nh Thái Nguyên,215,21515,Huy?n Phú Bình,23,21515023,Xã Phú Bình,,
929,10,T?nh Thái Nguyên,215,21515,Huy?n Phú Bình,24,21515024,Xã Tân Thành,,
930,10,T?nh Thái Nguyên,215,21515,Huy?n Phú Bình,25,21515025,Xã ?i?m Th?y,,
931,10,T?nh Thái Nguyên,215,21515,Huy?n Phú Bình,26,21515026,Xã Kha S?n,,
932,10,T?nh Thái Nguyên,215,21515,Huy?n Phú Bình,27,21515027,Xã Tân Khánh,,
933,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,28,21511028,Xã ??ng H?,,
934,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,29,21511029,Xã Quang S?n,,
935,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,30,21511030,Xã Tr?i Cau,,
936,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,31,21511031,Xã Nam Hoà,,
937,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,32,21511032,Xã V?n Hán,,
938,10,T?nh Thái Nguyên,215,21511,Huy?n ??ng H?,33,21511033,Xã V?n L?ng,,
939,10,T?nh Thái Nguyên,215,21503,Thành ph? Sông Công,34,21503034,Ph??ng Sông Công,,
940,10,T?nh Thái Nguyên,215,21503,Thành ph? Sông Công,35,21503035,Ph??ng Bá Xuyên,,
941,10,T?nh Thái Nguyên,215,21503,Thành ph? Sông Công,36,21503036,Ph??ng Bách Quang,,
942,10,T?nh Thái Nguyên,215,21509,Huy?n Phú L??ng,37,21509037,Xã Phú L??ng,,
943,10,T?nh Thái Nguyên,215,21509,Huy?n Phú L??ng,38,21509038,Xã Vô Tranh,,
944,10,T?nh Thái Nguyên,215,21509,Huy?n Phú L??ng,39,21509039,Xã Yên Tr?ch,,
945,10,T?nh Thái Nguyên,215,21509,Huy?n Phú L??ng,40,21509040,Xã H?p Thành,,
946,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,41,21505041,Xã ??nh Hóa,,
947,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,42,21505042,Xã Bình Yên,,
948,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,43,21505043,Xã Trung H?i,,
949,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,44,21505044,Xã Ph??ng Ti?n,,
950,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,45,21505045,Xã Phú ?ình,,
951,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,46,21505046,Xã Bình Thành,,
952,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,47,21505047,Xã Kim Ph??ng,,
953,10,T?nh Thái Nguyên,215,21505,Huy?n ??nh Hoá,48,21505048,Xã Lam V?,,
954,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,49,21507049,Xã Võ Nhai,,
955,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,50,21507050,Xã Dân Ti?n,,
956,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,51,21507051,Xã Nghinh T??ng,,
957,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,52,21507052,Xã Th?n Sa,,
958,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,53,21507053,Xã La Hiên,,
959,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,54,21507054,Xã Tràng Xá,,
961,10,T?nh Thái Nguyên,215,20704,Huy?n Pác N?m,55,20704055,Xã B?ng Thành,,
962,10,T?nh Thái Nguyên,215,20704,Huy?n Pác N?m,56,20704056,Xã Nghiên Loan,,
963,10,T?nh Thái Nguyên,215,20704,Huy?n Pác N?m,57,20704057,Xã Cao Minh,,
964,10,T?nh Thái Nguyên,215,20703,Huy?n Ba B?,58,20703058,Xã Ba B?,,
965,10,T?nh Thái Nguyên,215,20703,Huy?n Ba B?,59,20703059,Xã Ch? Rã,,
966,10,T?nh Thái Nguyên,215,20703,Huy?n Ba B?,60,20703060,Xã Phúc L?c,,
967,10,T?nh Thái Nguyên,215,20703,Huy?n Ba B?,61,20703061,Xã Th??ng Minh,,
968,10,T?nh Thái Nguyên,215,20703,Huy?n Ba B?,62,20703062,Xã ??ng Phúc,,
969,10,T?nh Thái Nguyên,215,20713,Huy?n Ch? M?i,63,20713063,Xã Yên Bình,,
970,10,T?nh Thái Nguyên,215,20705,Huy?n Ngân S?n,64,20705064,Xã B?ng Vân,,
971,10,T?nh Thái Nguyên,215,20705,Huy?n Ngân S?n,65,20705065,Xã Ngân S?n,,
972,10,T?nh Thái Nguyên,215,20705,Huy?n Ngân S?n,66,20705066,Xã Nà Ph?c,,
973,10,T?nh Thái Nguyên,215,20705,Huy?n Ngân S?n,67,20705067,Xã Hi?p L?c,,
974,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,68,20707068,Xã Nam C??ng,,
975,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,69,20707069,Xã Qu?ng B?ch,,
976,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,70,20707070,Xã Yên Th?nh,,
977,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,71,20707071,Xã Ch? ??n,,
978,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,72,20707072,Xã Yên Phong,,
979,10,T?nh Thái Nguyên,215,20707,Huy?n Ch? ??n,73,20707073,Xã Ngh?a Tá,,
980,10,T?nh Thái Nguyên,215,20711,Huy?n B?ch Thông,74,20711074,Xã Ph? Thông,,
981,10,T?nh Thái Nguyên,215,20711,Huy?n B?ch Thông,75,20711075,Xã C?m Giàng,,
982,10,T?nh Thái Nguyên,215,20711,Huy?n B?ch Thông,76,20711076,Xã V?nh Thông,,
983,10,T?nh Thái Nguyên,215,20711,Huy?n B?ch Thông,77,20711077,Xã B?ch Thông,,
984,10,T?nh Thái Nguyên,215,20701,Thành ph? B?c K?n,78,20701078,Xã Phong Quang,,
985,10,T?nh Thái Nguyên,215,20701,Thành ph? B?c K?n,79,20701079,Ph??ng ??c Xuân,,
986,10,T?nh Thái Nguyên,215,20701,Thành ph? B?c K?n,80,20701080,Ph??ng B?c K?n,,
987,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,81,20709081,Xã V?n Lang,,
988,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,82,20709082,Xã C??ng L?i,,
989,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,83,20709083,Xã Na Rì,,
990,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,84,20709084,Xã Tr?n Phú,,
991,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,85,20709085,Xã Côn Minh,,
992,10,T?nh Thái Nguyên,215,20709,Huy?n Na Rì,86,20709086,Xã Xuân D??ng,,
993,10,T?nh Thái Nguyên,215,20713,Huy?n Ch? M?i,87,20713087,Xã Tân K?,,
994,10,T?nh Thái Nguyên,215,20713,Huy?n Ch? M?i,88,20713088,Xã Thanh Mai,,
995,10,T?nh Thái Nguyên,215,20713,Huy?n Ch? M?i,89,20713089,Xã Thanh Th?nh,,
996,10,T?nh Thái Nguyên,215,20713,Huy?n Ch? M?i,90,20713090,Xã Ch? M?i,,
960,10,T?nh Thái Nguyên,215,21507,Huy?n Võ Nhai,91,21507091,Xã S?ng M?c,,
997,10,T?nh Thái Nguyên,215,20705,Huy?n Ngân S?n,92,20705092,Xã Th??ng Quan,,
998,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,1,20903001,Xã Th?t Khê,,
999,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,2,20903002,Xã ?oàn K?t,,
1000,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,3,20903003,Xã Tân Ti?n,,
1001,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,4,20903004,Xã Tràng ??nh,,
1002,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,5,20903005,Xã Qu?c Khánh,,
1003,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,6,20903006,Xã Kháng Chi?n,,
1004,11,T?nh L?ng S?n,209,20903,Huy?n Tràng ??nh,7,20903007,Xã Qu?c Vi?t,,
1005,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,8,20907008,Xã Bình Gia,,
1006,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,9,20907009,Xã Tân V?n,,
1007,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,10,20907010,Xã H?ng Phong,,
1008,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,11,20907011,Xã Hoa Thám,,
1009,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,12,20907012,Xã Quý Hoà,,
1010,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,13,20907013,Xã Thi?n Hoà,,
1011,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,14,20907014,Xã Thi?n Thu?t,,
1012,11,T?nh L?ng S?n,209,20907,Huy?n Bình Gia,15,20907015,Xã Thi?n Long,,
1013,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,16,20909016,Xã B?c S?n,,
1014,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,17,20909017,Xã H?ng V?,,
1015,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,18,20909018,Xã V? L?ng,,
1016,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,19,20909019,Xã Nh?t Hoà,,
1017,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,20,20909020,Xã V? L?,,
1018,11,T?nh L?ng S?n,209,20909,Huy?n B?c S?n,21,20909021,Xã Tân Tri,,
1019,11,T?nh L?ng S?n,209,20911,Huy?n V?n Quan,22,20911022,Xã V?n Quan,,
1020,11,T?nh L?ng S?n,209,20911,Huy?n V?n Quan,23,20911023,Xã ?i?m He,,
1021,11,T?nh L?ng S?n,209,20911,Huy?n V?n Quan,24,20911024,Xã Tri L?,,
1022,11,T?nh L?ng S?n,209,20911,Huy?n V?n Quan,25,20911025,Xã Yên Phúc,,
1023,11,T?nh L?ng S?n,209,20911,Huy?n V?n Quan,26,20911026,Xã Tân ?oàn,,
1024,11,T?nh L?ng S?n,209,20913,Huy?n Cao L?c,27,20913027,Xã Khánh Khê,,
1025,11,T?nh L?ng S?n,209,20905,Huy?n V?n Lãng,28,20905028,Xã Na S?m,,
1026,11,T?nh L?ng S?n,209,20905,Huy?n V?n Lãng,29,20905029,Xã V?n Lãng,,
1027,11,T?nh L?ng S?n,209,20905,Huy?n V?n Lãng,30,20905030,Xã H?i Hoan,,
1028,11,T?nh L?ng S?n,209,20905,Huy?n V?n Lãng,31,20905031,Xã Th?y Hùng,,
1029,11,T?nh L?ng S?n,209,20905,Huy?n V?n Lãng,32,20905032,Xã Hoàng V?n Th?,,
1030,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,33,20915033,Xã L?c Bình,,
1031,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,34,20915034,Xã M?u S?n,,
1032,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,35,20915035,Xã Na D??ng,,
1033,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,36,20915036,Xã L?i Bác,,
1034,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,37,20915037,Xã Th?ng Nh?t,,
1035,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,38,20915038,Xã Xuân D??ng,,
1036,11,T?nh L?ng S?n,209,20915,Huy?n L?c Bình,39,20915039,Xã Khu?t Xá,,
1037,11,T?nh L?ng S?n,209,20919,Huy?n ?ình L?p,40,20919040,Xã ?ình L?p,,
1038,11,T?nh L?ng S?n,209,20919,Huy?n ?ình L?p,41,20919041,Xã Châu S?n,,
1039,11,T?nh L?ng S?n,209,20919,Huy?n ?ình L?p,42,20919042,Xã Kiên M?c,,
1040,11,T?nh L?ng S?n,209,20919,Huy?n ?ình L?p,43,20919043,Xã Thái Bình,,
1041,11,T?nh L?ng S?n,209,20921,Huy?n H?u L?ng,44,20921044,Xã H?u L?ng,,
1042,11,T?nh L?ng S?n,209,20921,Huy?n H?u L?ng,45,20921045,Xã Tu?n S?n,,
1043,11,T?nh L?ng S?n,209,20921,Huy?n H?u L?ng,46,20921046,Xã Tân Thành,,
1044,11,T?nh L?ng S?n,209,20921,Huy?n H?u L?ng,47,20921047,Xã Vân Nham,,
